x	y	phi[x][y]
0.000000	0.000000	0.000000e+00
0.010101	0.000000	0.000000e+00
0.020202	0.000000	0.000000e+00
0.030303	0.000000	0.000000e+00
0.040404	0.000000	0.000000e+00
0.050505	0.000000	0.000000e+00
0.060606	0.000000	0.000000e+00
0.070707	0.000000	0.000000e+00
0.080808	0.000000	0.000000e+00
0.090909	0.000000	0.000000e+00
0.101010	0.000000	0.000000e+00
0.111111	0.000000	0.000000e+00
0.121212	0.000000	0.000000e+00
0.131313	0.000000	0.000000e+00
0.141414	0.000000	0.000000e+00
0.151515	0.000000	0.000000e+00
0.161616	0.000000	0.000000e+00
0.171717	0.000000	0.000000e+00
0.181818	0.000000	0.000000e+00
0.191919	0.000000	0.000000e+00
0.202020	0.000000	0.000000e+00
0.212121	0.000000	0.000000e+00
0.222222	0.000000	0.000000e+00
0.232323	0.000000	0.000000e+00
0.242424	0.000000	0.000000e+00
0.252525	0.000000	0.000000e+00
0.262626	0.000000	0.000000e+00
0.272727	0.000000	0.000000e+00
0.282828	0.000000	0.000000e+00
0.292929	0.000000	0.000000e+00
0.303030	0.000000	0.000000e+00
0.313131	0.000000	0.000000e+00
0.323232	0.000000	0.000000e+00
0.333333	0.000000	0.000000e+00
0.343434	0.000000	0.000000e+00
0.353535	0.000000	0.000000e+00
0.363636	0.000000	0.000000e+00
0.373737	0.000000	0.000000e+00
0.383838	0.000000	0.000000e+00
0.393939	0.000000	0.000000e+00
0.404040	0.000000	0.000000e+00
0.414141	0.000000	0.000000e+00
0.424242	0.000000	0.000000e+00
0.434343	0.000000	0.000000e+00
0.444444	0.000000	0.000000e+00
0.454545	0.000000	0.000000e+00
0.464646	0.000000	0.000000e+00
0.474747	0.000000	0.000000e+00
0.484848	0.000000	0.000000e+00
0.494949	0.000000	0.000000e+00
0.505051	0.000000	0.000000e+00
0.515152	0.000000	0.000000e+00
0.525253	0.000000	0.000000e+00
0.535354	0.000000	0.000000e+00
0.545455	0.000000	0.000000e+00
0.555556	0.000000	0.000000e+00
0.565657	0.000000	0.000000e+00
0.575758	0.000000	0.000000e+00
0.585859	0.000000	0.000000e+00
0.595960	0.000000	0.000000e+00
0.606061	0.000000	0.000000e+00
0.616162	0.000000	0.000000e+00
0.626263	0.000000	0.000000e+00
0.636364	0.000000	0.000000e+00
0.646465	0.000000	0.000000e+00
0.656566	0.000000	0.000000e+00
0.666667	0.000000	0.000000e+00
0.676768	0.000000	0.000000e+00
0.686869	0.000000	0.000000e+00
0.696970	0.000000	0.000000e+00
0.707071	0.000000	0.000000e+00
0.717172	0.000000	0.000000e+00
0.727273	0.000000	0.000000e+00
0.737374	0.000000	0.000000e+00
0.747475	0.000000	0.000000e+00
0.757576	0.000000	0.000000e+00
0.767677	0.000000	0.000000e+00
0.777778	0.000000	0.000000e+00
0.787879	0.000000	0.000000e+00
0.797980	0.000000	0.000000e+00
0.808081	0.000000	0.000000e+00
0.818182	0.000000	0.000000e+00
0.828283	0.000000	0.000000e+00
0.838384	0.000000	0.000000e+00
0.848485	0.000000	0.000000e+00
0.858586	0.000000	0.000000e+00
0.868687	0.000000	0.000000e+00
0.878788	0.000000	0.000000e+00
0.888889	0.000000	0.000000e+00
0.898990	0.000000	0.000000e+00
0.909091	0.000000	0.000000e+00
0.919192	0.000000	0.000000e+00
0.929293	0.000000	0.000000e+00
0.939394	0.000000	0.000000e+00
0.949495	0.000000	0.000000e+00
0.959596	0.000000	0.000000e+00
0.969697	0.000000	0.000000e+00
0.979798	0.000000	0.000000e+00
0.989899	0.000000	0.000000e+00
1.000000	0.000000	0.000000e+00
0.000000	0.010101	0.000000e+00
0.010101	0.010101	1.025051e-03
0.020202	0.010101	2.050111e-03
0.030303	0.010101	3.075178e-03
0.040404	0.010101	4.100239e-03
0.050505	0.010101	5.125261e-03
0.060606	0.010101	6.150188e-03
0.070707	0.010101	7.174933e-03
0.080808	0.010101	8.199374e-03
0.090909	0.010101	9.223344e-03
0.101010	0.010101	1.024663e-02
0.111111	0.010101	1.126897e-02
0.121212	0.010101	1.229002e-02
0.131313	0.010101	1.330940e-02
0.141414	0.010101	1.432665e-02
0.151515	0.010101	1.534121e-02
0.161616	0.010101	1.635246e-02
0.171717	0.010101	1.735970e-02
0.181818	0.010101	1.836213e-02
0.191919	0.010101	1.935884e-02
0.202020	0.010101	2.034885e-02
0.212121	0.010101	2.133107e-02
0.222222	0.010101	2.230428e-02
0.232323	0.010101	2.326720e-02
0.242424	0.010101	2.421842e-02
0.252525	0.010101	2.515644e-02
0.262626	0.010101	2.607965e-02
0.272727	0.010101	2.698635e-02
0.282828	0.010101	2.787474e-02
0.292929	0.010101	2.874295e-02
0.303030	0.010101	2.958902e-02
0.313131	0.010101	3.041093e-02
0.323232	0.010101	3.120659e-02
0.333333	0.010101	3.197389e-02
0.343434	0.010101	3.271066e-02
0.353535	0.010101	3.341474e-02
0.363636	0.010101	3.408397e-02
0.373737	0.010101	3.471619e-02
0.383838	0.010101	3.530930e-02
0.393939	0.010101	3.586125e-02
0.404040	0.010101	3.637007e-02
0.414141	0.010101	3.683390e-02
0.424242	0.010101	3.725097e-02
0.434343	0.010101	3.761969e-02
0.444444	0.010101	3.793859e-02
0.454545	0.010101	3.820639e-02
0.464646	0.010101	3.842199e-02
0.474747	0.010101	3.858450e-02
0.484848	0.010101	3.869325e-02
0.494949	0.010101	3.874777e-02
0.505051	0.010101	3.874784e-02
0.515152	0.010101	3.869346e-02
0.525253	0.010101	3.858484e-02
0.535354	0.010101	3.842246e-02
0.545455	0.010101	3.820699e-02
0.555556	0.010101	3.793933e-02
0.565657	0.010101	3.762056e-02
0.575758	0.010101	3.725197e-02
0.585859	0.010101	3.683501e-02
0.595960	0.010101	3.637130e-02
0.606061	0.010101	3.586260e-02
0.616162	0.010101	3.531076e-02
0.626263	0.010101	3.471776e-02
0.636364	0.010101	3.408564e-02
0.646465	0.010101	3.341651e-02
0.656566	0.010101	3.271252e-02
0.666667	0.010101	3.197583e-02
0.676768	0.010101	3.120862e-02
0.686869	0.010101	3.041302e-02
0.696970	0.010101	2.959118e-02
0.707071	0.010101	2.874517e-02
0.717172	0.010101	2.787701e-02
0.727273	0.010101	2.698866e-02
0.737374	0.010101	2.608200e-02
0.747475	0.010101	2.515882e-02
0.757576	0.010101	2.422082e-02
0.767677	0.010101	2.326960e-02
0.777778	0.010101	2.230668e-02
0.787879	0.010101	2.133346e-02
0.797980	0.010101	2.035123e-02
0.808081	0.010101	1.936120e-02
0.818182	0.010101	1.836445e-02
0.828283	0.010101	1.736197e-02
0.838384	0.010101	1.635468e-02
0.848485	0.010101	1.534336e-02
0.858586	0.010101	1.432872e-02
0.868687	0.010101	1.331139e-02
0.878788	0.010101	1.229192e-02
0.888889	0.010101	1.127076e-02
0.898990	0.010101	1.024831e-02
0.909091	0.010101	9.224896e-03
0.919192	0.010101	8.200791e-03
0.929293	0.010101	7.176206e-03
0.939394	0.010101	6.151307e-03
0.949495	0.010101	5.126217e-03
0.959596	0.010101	4.101022e-03
0.969697	0.010101	3.075779e-03
0.979798	0.010101	2.050521e-03
0.989899	0.010101	1.025260e-03
1.000000	0.010101	0.000000e+00
0.000000	0.020202	0.000000e+00
0.010101	0.020202	2.050111e-03
0.020202	0.020202	4.100246e-03
0.030303	0.020202	6.150407e-03
0.040404	0.020202	8.200573e-03
0.050505	0.020202	1.025069e-02
0.060606	0.020202	1.230064e-02
0.070707	0.020202	1.435027e-02
0.080808	0.020202	1.639933e-02
0.090909	0.020202	1.844749e-02
0.101010	0.020202	2.049435e-02
0.111111	0.020202	2.253936e-02
0.121212	0.020202	2.458188e-02
0.131313	0.020202	2.662112e-02
0.141414	0.020202	2.865615e-02
0.151515	0.020202	3.068591e-02
0.161616	0.020202	3.270915e-02
0.171717	0.020202	3.472444e-02
0.181818	0.020202	3.673020e-02
0.191919	0.020202	3.872463e-02
0.202020	0.020202	4.070576e-02
0.212121	0.020202	4.267138e-02
0.222222	0.020202	4.461913e-02
0.232323	0.020202	4.654638e-02
0.242424	0.020202	4.845034e-02
0.252525	0.020202	5.032799e-02
0.262626	0.020202	5.217612e-02
0.272727	0.020202	5.399132e-02
0.282828	0.020202	5.576999e-02
0.292929	0.020202	5.750837e-02
0.303030	0.020202	5.920255e-02
0.313131	0.020202	6.084845e-02
0.323232	0.020202	6.244191e-02
0.333333	0.020202	6.397866e-02
0.343434	0.020202	6.545438e-02
0.353535	0.020202	6.686472e-02
0.363636	0.020202	6.820532e-02
0.373737	0.020202	6.947187e-02
0.383838	0.020202	7.066014e-02
0.393939	0.020202	7.176601e-02
0.404040	0.020202	7.278553e-02
0.414141	0.020202	7.371494e-02
0.424242	0.020202	7.455071e-02
0.434343	0.020202	7.528960e-02
0.444444	0.020202	7.592868e-02
0.454545	0.020202	7.646537e-02
0.464646	0.020202	7.689747e-02
0.474747	0.020202	7.722318e-02
0.484848	0.020202	7.744114e-02
0.494949	0.020202	7.755041e-02
0.505051	0.020202	7.755055e-02
0.515152	0.020202	7.744154e-02
0.525253	0.020202	7.722386e-02
0.535354	0.020202	7.689842e-02
0.545455	0.020202	7.646658e-02
0.555556	0.020202	7.593015e-02
0.565657	0.020202	7.529133e-02
0.575758	0.020202	7.455269e-02
0.585859	0.020202	7.371716e-02
0.595960	0.020202	7.278800e-02
0.606061	0.020202	7.176871e-02
0.616162	0.020202	7.066306e-02
0.626263	0.020202	6.947500e-02
0.636364	0.020202	6.820865e-02
0.646465	0.020202	6.686825e-02
0.656566	0.020202	6.545809e-02
0.666667	0.020202	6.398254e-02
0.676768	0.020202	6.244595e-02
0.686869	0.020202	6.085263e-02
0.696970	0.020202	5.920686e-02
0.707071	0.020202	5.751281e-02
0.717172	0.020202	5.577452e-02
0.727273	0.020202	5.399594e-02
0.737374	0.020202	5.218081e-02
0.747475	0.020202	5.033273e-02
0.757576	0.020202	4.845512e-02
0.767677	0.020202	4.655118e-02
0.777778	0.020202	4.462393e-02
0.787879	0.020202	4.267617e-02
0.797980	0.020202	4.071051e-02
0.808081	0.020202	3.872933e-02
0.818182	0.020202	3.673483e-02
0.828283	0.020202	3.472898e-02
0.838384	0.020202	3.271357e-02
0.848485	0.020202	3.069021e-02
0.858586	0.020202	2.866030e-02
0.868687	0.020202	2.662509e-02
0.878788	0.020202	2.458566e-02
0.888889	0.020202	2.254294e-02
0.898990	0.020202	2.049770e-02
0.909091	0.020202	1.845059e-02
0.919192	0.020202	1.640216e-02
0.929293	0.020202	1.435281e-02
0.939394	0.020202	1.230288e-02
0.949495	0.020202	1.025260e-02
0.959596	0.020202	8.202138e-03
0.969697	0.020202	6.151608e-03
0.979798	0.020202	4.101064e-03
0.989899	0.020202	2.050529e-03
1.000000	0.020202	0.000000e+00
0.000000	0.030303	0.000000e+00
0.010101	0.030303	3.075178e-03
0.020202	0.030303	6.150407e-03
0.030303	0.030303	9.225706e-03
0.040404	0.030303	1.230106e-02
0.050505	0.030303	1.537639e-02
0.060606	0.030303	1.845156e-02
0.070707	0.030303	2.152633e-02
0.080808	0.030303	2.460035e-02
0.090909	0.030303	2.767316e-02
0.101010	0.030303	3.074413e-02
0.111111	0.030303	3.381249e-02
0.121212	0.030303	3.687727e-02
0.131313	0.030303	3.993732e-02
0.141414	0.030303	4.299125e-02
0.151515	0.030303	4.603746e-02
0.161616	0.030303	4.907411e-02
0.171717	0.030303	5.209908e-02
0.181818	0.030303	5.510997e-02
0.191919	0.030303	5.810413e-02
0.202020	0.030303	6.107857e-02
0.212121	0.030303	6.403002e-02
0.222222	0.030303	6.695491e-02
0.232323	0.030303	6.984932e-02
0.242424	0.030303	7.270904e-02
0.252525	0.030303	7.552956e-02
0.262626	0.030303	7.830603e-02
0.272727	0.030303	8.103334e-02
0.282828	0.030303	8.370607e-02
0.292929	0.030303	8.631856e-02
0.303030	0.030303	8.886490e-02
0.313131	0.030303	9.133899e-02
0.323232	0.030303	9.373451e-02
0.333333	0.030303	9.604506e-02
0.343434	0.030303	9.826409e-02
0.353535	0.030303	1.003850e-01
0.363636	0.030303	1.024013e-01
0.373737	0.030303	1.043065e-01
0.383838	0.030303	1.060940e-01
0.393939	0.030303	1.077578e-01
0.404040	0.030303	1.092918e-01
0.414141	0.030303	1.106903e-01
0.424242	0.030303	1.119480e-01
0.434343	0.030303	1.130600e-01
0.444444	0.030303	1.140218e-01
0.454545	0.030303	1.148296e-01
0.464646	0.030303	1.154800e-01
0.474747	0.030303	1.159703e-01
0.484848	0.030303	1.162984e-01
0.494949	0.030303	1.164629e-01
0.505051	0.030303	1.164631e-01
0.515152	0.030303	1.162990e-01
0.525253	0.030303	1.159713e-01
0.535354	0.030303	1.154814e-01
0.545455	0.030303	1.148314e-01
0.555556	0.030303	1.140240e-01
0.565657	0.030303	1.130626e-01
0.575758	0.030303	1.119510e-01
0.585859	0.030303	1.106936e-01
0.595960	0.030303	1.092955e-01
0.606061	0.030303	1.077618e-01
0.616162	0.030303	1.060984e-01
